rank,action_type,provider,gpu,region_code,priority_score,source_type,claim_scope,operator_step
1,collect_source_labeled_snapshot,vast,A100 PCIe,eu-west,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
2,collect_source_labeled_snapshot,coreweave,A100 PCIe,eu-central,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
3,collect_source_labeled_snapshot,lambda_labs,A100 PCIe,eu-west,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
4,collect_source_labeled_snapshot,runpod,A100 PCIe,eu-west,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
5,collect_source_labeled_snapshot,aws,A100 PCIe,eu-central,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
6,collect_source_labeled_snapshot,google_cloud,A100 PCIe,eu-central,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
7,collect_source_labeled_snapshot,microsoft_azure,A100 PCIe,eu-central,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
8,collect_source_labeled_snapshot,crusoe,A100 PCIe,eu-central,150.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
9,collect_source_labeled_snapshot,vast,A100 PCIe,singapore,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
10,collect_source_labeled_snapshot,coreweave,A100 PCIe,eu-west,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
11,collect_source_labeled_snapshot,lambda_labs,A100 PCIe,singapore,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
12,collect_source_labeled_snapshot,runpod,A100 PCIe,singapore,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
13,collect_source_labeled_snapshot,aws,A100 PCIe,eu-west,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
14,collect_source_labeled_snapshot,google_cloud,A100 PCIe,eu-west,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
15,collect_source_labeled_snapshot,microsoft_azure,A100 PCIe,eu-west,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
16,collect_source_labeled_snapshot,crusoe,A100 PCIe,eu-west,150.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
17,collect_source_labeled_snapshot,vast,A100 PCIe,us-east,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
18,collect_source_labeled_snapshot,coreweave,A100 PCIe,singapore,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
19,collect_source_labeled_snapshot,lambda_labs,A100 PCIe,us-east,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
20,collect_source_labeled_snapshot,runpod,A100 PCIe,us-east,180.0,manual_public_snapshot,research_preview,"Find a public source page, fill price_per_hour, availability, delivery_time_days and source_url in data/manual_market_snapshot_inbox_template.csv."
