registry_name,row_count,warehouse_group,status
admin_summary,1,metadata,active
ai_infrastructure_index,1,metadata,active
ai_infrastructure_index_history,1,metadata,active
ai_infrastructure_pulse,1,metadata,active
alerts,0,metadata,active
amd_historical_gpu_registry,4,metadata,active
api_catalog,10,metadata,active
api_inventory_runtime,18,metadata,active
api_key_registry,3,metadata,active
api_keys,3,metadata,active
api_product_status,1,metadata,active
backtest_results,37,metadata,active
cloud_provider_registry_v2,9,metadata,active
commercial_readiness,1,metadata,active
cron_health,1,metadata,active
cuda_timeline,5,metadata,active
customer_discovery_tracker,0,metadata,active
customer_pipeline,0,metadata,active
customer_pipeline_summary,1,metadata,active
customer_value,4,metadata,active
customer_value_score,1,metadata,active
dashboard_health,1,metadata,active
data_freshness,5,metadata,active
data_lineage_registry,4,metadata,active
data_moat_score,1,metadata,active
data_quality,1,metadata,active
data_quality_metrics,4,metadata,active
data_source_status,5,metadata,active
executive_dashboard,3,metadata,active
feature_store,2,feature_store,active
feedback_summary,1,metadata,active
forecast_dataset,2,forecast,active
forecast_engine_v1_output,2,forecast,active
forecast_explanations,2,forecast,active
forecast_run_summary,1,forecast,active
forecast_signal,1,metadata,active
founder_dashboard_summary,1,metadata,active
founder_operating_dashboard,1,metadata,active
frontier_gpu_index,1,metadata,active
gpu_category_index,4,metadata,active
gpu_data,134,metadata,active
gpu_market_brief,1,metadata,active
gpu_market_movers,1,metadata,active
gpu_price_forecast_signal,1,metadata,active
gpu_price_history,1,metadata,active
gpu_price_trend_signal,1,metadata,active
gpu_price_volatility,1,metadata,active
gpu_scarcity_index,1,metadata,active
gpu_watchlist,9,metadata,active
gpu_watchlist_intelligence,9,metadata,active
historical_capacity_registry,5,historical/capacity,active
historical_entity_registry,26,metadata,active
historical_pricing_registry,0,metadata,active
historical_relationship_registry,10,metadata,active
historical_source_registry,17,metadata,active
history_summary,1,metadata,active
index_history,75,metadata,active
intel_historical_gpu_registry,4,metadata,active
intelligence_signal_score,1,metadata,active
investor_dashboard,1,metadata,active
investor_metrics,1,metadata,active
kpi_dashboard,1,metadata,active
launch_readiness,1,metadata,active
live_data_quality_score,1,metadata,active
live_gpu_alerts,1,metadata,active
live_gpu_cheapest,10,metadata,active
live_gpu_most_available,10,metadata,active
live_gpu_most_expensive,10,metadata,active
live_gpu_price_history,16,metadata,active
live_gpu_price_index,1,metadata,active
live_offer_summary,22,metadata,active
live_provider_data,100,metadata,active
live_provider_dominance,1,metadata,active
live_provider_market_share,2,metadata,active
live_provider_market_share_history,16,metadata,active
live_provider_status,4,metadata,active
market_data,152,metadata,active
market_data_moat_status,1,metadata,active
market_regime,1,metadata,active
module_registry,288,metadata,active
monetization_readiness,1,metadata,active
nvidia_historical_gpu_registry,5,metadata,active
oneapi_timeline,4,metadata,active
operational_status,1,metadata,active
pipeline_health_summary,4,metadata,active
pipeline_run_registry,1,metadata,active
plan_access_matrix,10,metadata,active
plan_limits,3,metadata,active
predictions,1,metadata,active
pricing_tiers,3,metadata,active
product_readiness_score,1,metadata,active
product_terminal_readiness,1,metadata,active
production_readiness,1,metadata,active
provider_comparison,2,metadata,active
provider_concentration,1,metadata,active
provider_coverage_score,55,metadata,active
provider_credentials,4,metadata,active
provider_daily_metrics,102,metadata,active
provider_data_mode,1,metadata,active
provider_dominance_index,1,metadata,active
provider_entity_registry,9,historical/providers,active
provider_health,2,metadata,active
provider_health_history,2,metadata,active
provider_history,5,metadata,active
provider_intelligence_readiness,1,metadata,active
provider_live_readiness,2,metadata,active
provider_market_share_history,2,metadata,active
provider_marketshare,5,metadata,active
provider_rankings,5,metadata,active
provider_readiness,1,metadata,active
provider_registry,6,metadata,active
provider_relationship_registry,5,historical/providers,active
provider_reliability_ranking,2,metadata,active
public_beta_status,1,metadata,active
public_usage_snapshot,1,metadata,active
real_provider_todo,5,metadata,active
registry_catalog_v2,139,metadata,active
registry_metadata,138,metadata,active
rocm_timeline,4,metadata,active
rpct_scores,37,metadata,active
runpod_live_report,47,metadata,active
sales_readiness,1,metadata,active
scarcity_watchlist,3,metadata,active
shortage_probability,1,metadata,active
synapseai_timeline,4,metadata,active
terminal_risk_score,1,metadata,active
terminal_summary,1,metadata,active
terminal_trend_history,32,metadata,active
time_series_forecast,1,metadata,active
trend_signal,1,metadata,active
trust_status,1,metadata,active
unified_accelerator_registry,10,metadata,active
unified_hardware_registry,10,metadata,active
unified_software_stack_registry,5,metadata,active
usage_metrics,1,metadata,active
usage_plan_matrix,3,metadata,active
user_feedback,0,metadata,active
vast_live_report,100,metadata,active
warehouse_metrics,1,metadata,active
