registry_name,relative_path,row_count
admin_summary,data/admin_summary.csv,1
ai_infrastructure_index,data/ai_infrastructure_index.csv,1
ai_infrastructure_index_history,data/ai_infrastructure_index_history.csv,1
ai_infrastructure_pulse,data/ai_infrastructure_pulse.csv,1
alerts,data/alerts.csv,0
amd_historical_gpu_registry,data/amd_historical_gpu_registry.csv,4
api_catalog,data/api_catalog.csv,10
api_inventory_runtime,data/api_inventory_runtime.csv,18
api_key_registry,data/api_key_registry.csv,3
api_keys,data/api_keys.csv,3
api_product_status,data/api_product_status.csv,1
backtest_results,data/backtest_results.csv,37
cloud_provider_registry_v2,data/cloud_provider_registry_v2.csv,9
commercial_readiness,data/commercial_readiness.csv,1
cron_health,data/cron_health.csv,1
cuda_timeline,data/cuda_timeline.csv,5
customer_discovery_tracker,data/customer_discovery_tracker.csv,0
customer_pipeline,data/customer_pipeline.csv,0
customer_pipeline_summary,data/customer_pipeline_summary.csv,1
customer_value,data/customer_value.csv,4
customer_value_score,data/customer_value_score.csv,1
dashboard_health,data/dashboard_health.csv,1
data_freshness,data/data_freshness.csv,5
data_lineage_registry,data/data_lineage_registry.csv,4
data_moat_score,data/data_moat_score.csv,1
data_quality,data/data_quality.csv,1
data_quality_metrics,data/data_quality_metrics.csv,4
data_source_status,data/data_source_status.csv,5
executive_dashboard,data/executive_dashboard.csv,3
feature_store,data/feature_store.csv,2
feedback_summary,data/feedback_summary.csv,1
forecast_dataset,data/forecast_dataset.csv,2
forecast_engine_v1_output,data/forecast_engine_v1_output.csv,2
forecast_explanations,data/forecast_explanations.csv,2
forecast_run_summary,data/forecast_run_summary.csv,1
forecast_signal,data/forecast_signal.csv,1
founder_dashboard_summary,data/founder_dashboard_summary.csv,1
founder_operating_dashboard,data/founder_operating_dashboard.csv,1
frontier_gpu_index,data/frontier_gpu_index.csv,1
gpu_category_index,data/gpu_category_index.csv,4
gpu_data,data/gpu_data.csv,134
gpu_market_brief,data/gpu_market_brief.csv,1
gpu_market_movers,data/gpu_market_movers.csv,1
gpu_price_forecast_signal,data/gpu_price_forecast_signal.csv,1
gpu_price_history,data/gpu_price_history.csv,1
gpu_price_trend_signal,data/gpu_price_trend_signal.csv,1
