performance_record_id,gpu_id,vendor_registry,vendor,product_name,peak_fp32_tflops,peak_fp16_tflops,sparsity_note,memory_bandwidth_gbps,memory_capacity_gb,source_url,source_type,source_confidence,notes
perf000001,gpu_nvidia_tesla_k80,nvidia_historical_gpu_registry,NVIDIA,Tesla K80,5.6,,"dual-GPU board, combined figure; no FP16 tensor cores (pre-Volta)",480,24,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/tesla-product-literature/TeslaK80-datasheet.pdf,official_datasheet,medium,Figures widely repeated across secondary sources citing the official K80 datasheet; not independently re-verified against the raw PDF text.
perf000002,gpu_nvidia_v100,nvidia_historical_gpu_registry,NVIDIA,Tesla V100,15.7,125,"dense, no sparsity (Volta predates structured sparsity support)",900,16 / 32,https://images.nvidia.com/content/technologies/volta/pdf/volta-v100-datasheet-update-us-1165301-r5.pdf,official_datasheet,medium,SXM2 variant. PCIe variant is clocked lower; not recorded separately here.
perf000003,gpu_nvidia_a100,nvidia_historical_gpu_registry,NVIDIA,A100,19.5,312,dense (624 with 2:4 structured sparsity),2039,40 / 80,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/a100/pdf/nvidia-a100-datasheet-nvidia-us-2188504-web.pdf,official_datasheet,medium,80GB SXM variant bandwidth shown; 40GB and PCIe variants differ.
perf000004,gpu_nvidia_h100,nvidia_historical_gpu_registry,NVIDIA,H100,67,989,"dense, SXM5 (1979 with 2:4 structured sparsity)",3350,80,https://www.nvidia.com/en-us/data-center/h100/,secondary_aggregated,medium,SXM5 variant. PCIe variant has lower TDP/clocks and ~2000 GB/s bandwidth; not recorded separately here.
perf000005,gpu_nvidia_b200,nvidia_historical_gpu_registry,NVIDIA,B200,,2250,dense (4500 with 2:4 structured sparsity),8000,180,https://www.nvidia.com/en-us/data-center/dgx-b200/,secondary_aggregated,low,"Blackwell generation; secondary sources show some variance in exact memory capacity (180GB vs 192GB) and bandwidth (7.7-8 TB/s) depending on SKU/config. Lower confidence than older, more extensively cross-checked generations."
perf000006,amd-instinct-mi100,amd_historical_gpu_registry,AMD,AMD Instinct MI100,11.5,184.6,peak matrix/tensor FP16 reported up to ~383 TFLOPS in some sources; vector FP16 figure used here,1229,32,https://www.amd.com/en/products/accelerators/instinct/mi100.html,secondary_aggregated,medium,CDNA architecture. Matrix-core peak figure differs from vector FP16 figure; see sparsity_note.
perf000007,amd-instinct-mi210,amd_historical_gpu_registry,AMD,AMD Instinct MI210,22.6,181,"dense matrix FP16/BF16, no sparsity",1600,64,https://www.amd.com/content/dam/amd/en/documents/instinct-business-docs/product-briefs/instinct-mi210-brochure.pdf,official_datasheet,medium,CDNA2 architecture. FP32 vector figure (23 TFLOPS) and FP32 matrix figure (45 TFLOPS) both appear in vendor materials; vector figure used here.
perf000008,amd-instinct-mi300x,amd_historical_gpu_registry,AMD,AMD Instinct MI300X,,1307.4,dense (2614.9 with sparsity),5300,192,https://www.amd.com/content/dam/amd/en/documents/instinct-tech-docs/data-sheets/amd-instinct-mi300x-data-sheet.pdf,official_datasheet,medium,CDNA3 architecture. Positioned by AMD as an H100 competitor; widely cross-referenced 192GB/5.3TB/s figures.
perf000009,intel-data-center-gpu-max-1100,intel_historical_gpu_registry,Intel,Intel Data Center GPU Max 1100,21.8,,vector FP32 figure; Xe Matrix Engine (XMX) BF16/FP16 figures not consistently reported for this specific SKU vs. the higher-end Max 1550 OAM card,1229,48,https://www.intel.com/content/www/us/en/products/sku/232876/intel-data-center-gpu-max-1100/specifications.html,secondary_aggregated,low,Direct fetch of Intel's own spec page was blocked (403); figures sourced via a secondary GPU-database aggregator citing that page. Lower confidence than directly-verified official sources.
perf000010,intel-gaudi2,intel_historical_gpu_registry,Intel,Intel Gaudi2,,,,2450,96,https://download.intel.com/newsroom/2022/corporate/vision/Habana-Gaudi2-Launch-Fact-Sheet.pdf,secondary_aggregated,low,Intel does not publish Gaudi2 compute performance in directly comparable dense-TFLOPS terms the way NVIDIA/AMD do (marketing relies on MLPerf benchmark results instead). TFLOPS fields deliberately left blank rather than estimated; memory bandwidth/capacity only.
perf000011,intel-gaudi3-launch,intel_historical_gpu_registry,Intel,Intel Gaudi 3 AI Accelerator,,1800,"BF16/FP8 matrix compute, reported as ~1.8 PFLOPS by Intel; precision/sparsity basis not fully disclosed in the same terms NVIDIA/AMD use",3700,128,https://newsroom.intel.com/artificial-intelligence/next-generation-ai-solutions-xeon-6-gaudi-3,secondary_aggregated,low,Figure not directly comparable to NVIDIA/AMD dense-TFLOPS figures without knowing Intel's exact precision/sparsity assumptions; treat as directional only.
