source_id,organization,source_name,source_type,base_url,coverage,verification_level,last_verified,status,notes
amd_ir,AMD,AMD Investor Relations,official,https://ir.amd.com,AMD official announcements and investor press releases,high,2026-06-25,active,Primary source for AMD launch and corporate announcements.
amd_products,AMD,AMD Product Pages,official,https://www.amd.com,AMD product specifications and product pages,high,2026-06-25,active,Used for product-level references when available.
intel_newsroom,Intel,Intel Newsroom,official,https://newsroom.intel.com,Intel official news and launch announcements,high,2026-06-25,active,Primary source for Intel public launch announcements.
intel_products,Intel,Intel Product Specifications,official,https://www.intel.com,Intel product specification pages,high,2026-06-25,active,Used for Intel product SKU details.
nvidia_news,NVIDIA,NVIDIA Newsroom,official,https://nvidianews.nvidia.com,NVIDIA official announcements,high,2026-06-25,active,Future source for NVIDIA historical expansion.
nvidia_products,NVIDIA,NVIDIA Product Pages,official,https://www.nvidia.com,NVIDIA product pages and platform references,high,2026-06-25,active,Future source for NVIDIA product-level references.
cuda_docs,NVIDIA,CUDA Documentation,official,https://docs.nvidia.com/cuda,CUDA documentation and release references,high,2026-06-25,active,Future source for CUDA timeline registry.
rocm_docs,AMD,ROCm Documentation,official,https://rocm.docs.amd.com,ROCm documentation and release references,high,2026-06-25,active,Future source for ROCm timeline registry.
coreweave_docs,CoreWeave,CoreWeave Documentation,official,https://docs.coreweave.com,CoreWeave documentation and platform references,high,2026-06-25,active,Official CoreWeave documentation.
lambda_docs,Lambda,Lambda Documentation,official,https://docs.lambda.ai,Lambda documentation and platform references,high,2026-06-25,active,Official Lambda documentation.
crusoe_docs,Crusoe,Crusoe Documentation,official,https://docs.crusoe.ai,Crusoe documentation and platform references,high,2026-06-25,active,Official Crusoe documentation.
nebius_docs,Nebius,Nebius Documentation,official,https://docs.nebius.com,Nebius documentation and platform references,high,2026-06-25,active,Official Nebius documentation.
runpod_docs,RunPod,RunPod Documentation,official,https://docs.runpod.io,RunPod documentation and platform references,high,2026-06-25,active,Official RunPod documentation.
vast_docs,Vast.ai,Vast.ai Documentation,official,https://docs.vast.ai,Vast.ai documentation and platform references,high,2026-06-25,active,Official Vast.ai documentation.
aws_docs,AWS,AWS Documentation,official,https://docs.aws.amazon.com,AWS documentation and service references,high,2026-06-25,active,Official AWS documentation.
azure_docs,Microsoft Azure,Azure Documentation,official,https://learn.microsoft.com/azure,Azure documentation and service references,high,2026-06-25,active,Official Microsoft Azure documentation.
gcp_docs,Google Cloud,Google Cloud Documentation,official,https://cloud.google.com/docs,Google Cloud documentation and service references,high,2026-06-25,active,Official Google Cloud documentation.
market_reporting_estimate,AI-RPCT,Aggregated Public Market Reporting (Estimate),secondary,https://www.techpowerup.com/gpu-specs/,"Non-official price figures synthesized from widely-repeated public reporting (tech press, analyst coverage, GPU spec aggregators) where no vendor list price exists. Not a single citable document per price point.",low,2026-07-02,active,Deliberately lower-confidence than official sources above. Used only where a specific official list price is not public (typical for enterprise-only AI accelerators sold via negotiated/OEM deals). Do not treat as authoritative for procurement decisions without independent verification.
